Timestamp,Tell us about your experience working with us [TSG makes a positive contribution to my work],Tell us about your experience working with us [TSG responds to my requests in a timely manner],Tell us about your experience working with us [TSG takes accountability for my requests],Tell us about your experience working with us [TSG staff are knowledgable ],Please rate your satisfaction with our services: [Account manager support],Please rate your satisfaction with our services: [Audio and Video Production Services],"Please rate your satisfaction with our services: [Business applications support (M-files, Salesforce, Enterprise, etc.)]",Please rate your satisfaction with our services: [Event services],Please rate your satisfaction with our services: [Project support],Please rate your satisfaction with our services: [Service Desk],Please rate your satisfaction with our services: [Studio services],Please rate your satisfaction with our services: [Vendor management services],Is there anything else you would like to share?,
10/5/2018 10:28:39,Always,Sometimes,Always,Mostly,N/A do not use,Very Satisfied,Satisfied,Very Satisfied,,Very Satisfied,N/A do not use,N/A do not use,"I mostly work with TSG folks above, and they are SUPER! That having been said, I know that some are newer and are working to get up to speed on TMC applications etc. But there are two individuals that continue to absolutely shine in their work with me (and others, by observation) and go the extra mile in attitude, courteous-ness, etc. 

That having been said, I did have one difficulty recently with one of my service ticket requests that had a short time frame, placed on a Thursday, followed up with a personal email to one employee that I had asked questions along these lines before. I was surprised to not hear from them at all, either by email or in response to the TSG ticket, until I happen to be talking to that person on Monday but the event was past by that time. I was too busy on the Friday to follow up, as I should have. I was also a little vague in my time frame, too. I didn't follow up when I became aware their help would have been nice to receive by that Friday. It  occasionally appears to me that they are SO busy, they don't always have the time to follow up. Do we possibly need one more employee in that part of things?

On the flip side, occasionally I find that I cannot help with the follow up they may want to do (they are being proactive) because it takes up so much time that I often don't have, and I sometimes have to abandon a particular issue, especially as it relates to getting into my computer during work hours. Sorry! Also, very rarely, I have done a quick Google search and found the answer myself. Thank you to TSG for all you guys do! Not an easy job. :)",Fall 2018
10/5/2018 15:50:11,Mostly,Always,Always,Always,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Satisfied,N/A do not use,Very Satisfied,"Helpdesk: Sometimes the representative will keep you on hold unnecessarily when you could have gotten a simple call back. I have a hard time working with Lisa and Maurice because of how they conduct themselves on the telephone. Very kind people, so there is no problem there, but could conduct themselves in a more professional way.

General support/CSM accounts:Tony Veidelis and Sean Austin have been exceptional and it is always a pleasure to work with them. They go above and beyond.",Fall 2018
10/15/2018 16:10:59,Mostly,Mostly,Always,Mostly,Neutral,N/A do not use,Satisfied,N/A do not use,Very Satisfied,Satisfied,N/A do not use,N/A do not use,,Fall 2018
10/16/2018 9:34:33,Always,Always,Always,Always,Satisfied,N/A do not use,Neutral,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,,,Fall 2018
10/16/2018 10:16:57,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,,Fall 2018
10/17/2018 10:21:54,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Fall 2018
10/17/2018 10:50:26,Always,Always,Always,Mostly,Very Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Fall 2018
10/17/2018 11:22:32,Always,Always,Always,Always,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Fall 2018
10/20/2018 18:21:59,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Everyone at TSG is great!,Fall 2018
1/10/2019 17:06:13,Mostly,Sometimes,Mostly,Mostly,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Dissatisfied,N/A do not use,N/A do not use,Sometimes it takes many days for TSG to help me. I also find that some people are much more helpful than others. I spent *hours* (over multiple days) working with someone who did not know what they were doing at all. I ended up calling Kami because I knew she could help me. It turned out to be a very simple fix... I am always never to call TSG help line directly because I never know if I will get someone who can help me in a timely manner or not...,Winter 2019
1/10/2019 17:10:50,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/10/2019 17:19:08,Mostly,Mostly,Mostly,Mostly,Satisfied,Satisfied,Satisfied,N/A do not use,Dissatisfied,Satisfied,Satisfied,N/A do not use,"It's hard to lose folks that had an in-depth understanding and historical knowledge of systems, processes, etc. So much we do is not out of the box but customized and it takes more time to get answers, through the helpdesk and otherwise, and often with more back and forth, than it used to. 

Also, not all PMs send meeting minutes, recapping what was discussed, what action items are assigend to who, next steps, etc. I feel that is extremely helpful for the success and progress of a project and should be required as part of the PM role on a project. It would also be good if PMs had a strong understanding of all systems, processes, etc. involved in a project. Sometimes a lack of understanding can be a significant roadblock in moving a project forward.",Winter 2019
